StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Lg_decision,PoB1_E,PoB2_E,PoB4_E,PoB6_E,PoB7_E,AttentionCheck,PoB8_E,PoB9_E,PoB10_E,PoB12_E,PoB13_E,PoB1_S,PoB2_S,PoB4_S,PoB6_S,PoB7_S,AttentionCheck_S,PoB8_S,PoB9_S,PoB10_S,PoB12_S,PoB13_S,L1,L1_2_TEXT,L2,L2_3_TEXT,Education,Education_y,Age,Birthplace,Birthplace_2_TEXT,Ethnicity,Sex,Q44,SC0,Random ID
2019-11-27 15:13:32,2019-11-27 15:15:06,IP Address,100,93,True,2019-11-27 15:15:06,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Disagree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,31,In the US,NA,White alone (not Hispanic),Male,No,43,929063
2019-11-27 15:14:04,2019-11-27 15:15:37,IP Address,100,93,True,2019-11-27 15:15:37,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,25,In the US,NA,White alone (not Hispanic),Male,No,40,726193
2019-11-27 15:13:12,2019-11-27 15:15:49,IP Address,100,157,True,2019-11-27 15:15:49,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,12,23,In the US,NA,White alone (not Hispanic),Male,No,41,506261
2019-11-27 15:15:10,2019-11-27 15:17:32,IP Address,100,141,True,2019-11-27 15:17:32,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Disagree,Strongly agree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,14,45,In the US,NA,White alone (not Hispanic),Male,No,37,131102
2019-11-27 15:13:25,2019-11-27 15:18:04,IP Address,100,279,True,2019-11-27 15:18:04,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,19,58,"Outside the US, please specify:",Scotland,White alone (not Hispanic),Female,No,47,619298
2019-11-27 15:12:03,2019-11-27 15:18:38,IP Address,100,395,True,2019-11-27 15:18:39,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,13,26,In the US,NA,White alone (not Hispanic),Male,No,46,523383
2019-11-27 15:16:14,2019-11-27 15:18:43,IP Address,100,148,True,2019-11-27 15:18:43,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,"Other, please specify:",Portuguese,Graduate school degree,21,53,In the US,NA,Hispanic,Male,No,26,172788
2019-11-27 15:17:02,2019-11-27 15:18:47,IP Address,100,105,True,2019-11-27 15:18:47,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,21,45,In the US,NA,White alone (not Hispanic),Male,No,39,940535
2019-11-27 15:11:19,2019-11-27 15:20:06,IP Address,100,527,True,2019-11-27 15:20:06,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Some college or ass. degree,21,38,In the US,NA,White alone (not Hispanic),Male,Yes,54,645674
2019-11-27 15:20:17,2019-11-27 15:21:49,IP Address,100,91,True,2019-11-27 15:21:49,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,36,In the US,NA,White alone (not Hispanic),Female,No,45,372306
2019-11-27 15:19:03,2019-11-27 15:21:54,IP Address,100,171,True,2019-11-27 15:21:54,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Disagree,Agree,Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,High school graduate,28,28,In the US,NA,Hispanic,Male,No,45,752420
2019-11-27 15:20:20,2019-11-27 15:21:58,IP Address,100,97,True,2019-11-27 15:21:58,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Disagree,Disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,NA,27,In the US,NA,Black,Male,No,26,576494
2019-11-27 15:18:44,2019-11-27 15:22:11,IP Address,100,207,True,2019-11-27 15:22:12,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,18,28,In the US,NA,White alone (not Hispanic),Female,No,46,359099
2019-11-27 15:18:17,2019-11-27 15:22:17,IP Address,100,239,True,2019-11-27 15:22:17,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,30,In the US,NA,White alone (not Hispanic),Male,No,48,597486
2019-11-27 15:20:19,2019-11-27 15:22:41,IP Address,100,141,True,2019-11-27 15:22:41,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,41,In the US,NA,White alone (not Hispanic),Male,No,31,209743
2019-11-27 15:20:37,2019-11-27 15:22:42,IP Address,100,124,True,2019-11-27 15:22:42,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,13,57,In the US,NA,White alone (not Hispanic),Female,No,43,390228
2019-11-27 15:19:28,2019-11-27 15:22:53,IP Address,100,205,True,2019-11-27 15:22:54,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,16,40,In the US,NA,White alone (not Hispanic),Male,Yes,41,858528
2019-11-27 15:21:43,2019-11-27 15:23:31,IP Address,100,107,True,2019-11-27 15:23:31,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Graduate school degree,20,37,In the US,NA,White alone (not Hispanic),Male,No,55,506055
2019-11-27 15:20:33,2019-11-27 15:23:35,IP Address,100,181,True,2019-11-27 15:23:35,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,"Other, please specify:",Croatian,High school graduate,12,30,In the US,NA,White alone (not Hispanic),Male,No,40,127026
2019-11-27 15:21:57,2019-11-27 15:23:36,IP Address,100,98,True,2019-11-27 15:23:36,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,25,In the US,NA,White alone (not Hispanic),Male,No,45,440979
2019-11-27 15:22:46,2019-11-27 15:24:18,IP Address,100,92,True,2019-11-27 15:24:18,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,28,In the US,NA,White alone (not Hispanic),Female,No,42,446589
2019-11-27 15:21:20,2019-11-27 15:24:43,IP Address,100,202,True,2019-11-27 15:24:43,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,60,In the US,NA,White alone (not Hispanic),Female,No,25,983401
2019-11-27 15:17:52,2019-11-27 15:25:04,IP Address,100,431,True,2019-11-27 15:25:04,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,54,In the US,NA,White alone (not Hispanic),Female,Yes,46,598501
2019-11-27 15:26:54,2019-11-27 15:28:25,IP Address,100,90,True,2019-11-27 15:28:25,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,"Other, please specify:",korean,College graduate,16,31,In the US,NA,Asian or Pacific Islander,Female,No,34,789576
2019-11-27 15:27:45,2019-11-27 15:29:52,IP Address,100,126,True,2019-11-27 15:29:52,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,44,In the US,NA,Mixed race or other,Female,No,38,220836
2019-11-27 15:27:43,2019-11-27 15:30:28,IP Address,100,165,True,2019-11-27 15:30:28,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, please specify:",Chinese,English,NA,Graduate school degree,24,34,"Outside the US, please specify:",China,Asian or Pacific Islander,Female,Yes,52,984181
2019-11-27 15:26:28,2019-11-27 15:30:33,IP Address,100,245,True,2019-11-27 15:30:33,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Graduate school degree,17,66,In the US,NA,White alone (not Hispanic),Male,No,39,218485
2019-11-27 15:26:51,2019-11-27 15:30:55,IP Address,100,244,True,2019-11-27 15:30:56,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,18,59,"Outside the US, please specify:",Spain,White alone (not Hispanic),Male,No,37,343290
2019-11-27 15:23:10,2019-11-27 15:31:34,IP Address,100,503,True,2019-11-27 15:31:34,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,4,59,In the US,NA,White alone (not Hispanic),Male,No,54,988270
2019-11-27 15:11:27,2019-11-27 15:32:38,IP Address,100,1270,True,2019-11-27 15:32:38,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,NA,Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,51,"Outside the US, please specify:",Canada,White alone (not Hispanic),Female,No,36,750967
2019-11-27 15:31:47,2019-11-27 15:33:05,IP Address,100,78,True,2019-11-27 15:33:05,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,34,In the US,NA,White alone (not Hispanic),Female,No,49,247837
2019-11-27 15:36:23,2019-11-27 15:41:14,IP Address,100,291,True,2019-11-27 15:41:14,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,16,32,In the US,NA,Hispanic,Male,Yes,43,889624
2019-11-27 15:41:22,2019-11-27 15:43:44,IP Address,100,142,True,2019-11-27 15:43:44,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,16,41,In the US,NA,White alone (not Hispanic),Female,Yes,60,843177
2019-11-27 15:45:42,2019-11-27 15:47:43,IP Address,100,120,True,2019-11-27 15:47:44,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Disagree,Agree,Agree,Agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,69,In the US,NA,White alone (not Hispanic),Female,No,46,483683
2019-11-27 15:45:31,2019-11-27 15:47:53,IP Address,100,141,True,2019-11-27 15:47:53,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,14,25,In the US,NA,White alone (not Hispanic),Male,Yes,44,451710
